reward,program,class,immersion,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14_1,Q14_2,Q15,Q17,Q19,intl,gender,Q22,pre-MBA,Q24,post-MBA,Q26,duration_min
$10,2-year,2020,DTI,,,,1.0,1.0,1.0,,,,,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,5.0,4.0,4.0,3.0,Should be free,international,Female,,Marketing,,other,Retail,7.583333333333333
$10,2-year,2021,CFI,1.0,,,,1.0,,,1.0,,,5.0,6.0,6.0,7.0,4.0,5.0,5.0,5.0,6.0,7.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,6.0,4.0,5.0,1.0,Would not have any video sending/saving features. Too onerous.,domestic,Male,,other,Sales/Ops/Strategy,Consulting,,7.1
$10,2-year,2020,IB,,1.0,,,1.0,,,,1.0,,5.0,6.0,7.0,3.0,3.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,7.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,5.0,6.0,6.0,3.0,"1) cross-platform making it easier to use across phone, laptop, ipad
2) chatbot functionality to get help and connect with live people
3) make a download or offline functionality",international,Male,,GM,,Finance,,4.233333333333333
$10,2-year,2020,SPMI,1.0,,1.0,,,,,1.0,,,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,7.0,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,4.0,5.0,5.0,6.0,Make it very easy to use,domestic,Female,,Education,,HR,,5.55
Credit,2-year,2020,CFI,,,,,1.0,,,1.0,,1.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,6.0,6.0,6.0,1.0,Financial modeling step by step feature that can be as dumbed down as showing you where to click,domestic,Male,,other,govt,GM,,7.166666666666667
$10,2-year,2021,SPMI,1.0,,,,,1.0,1.0,,,,5.0,5.0,5.0,6.0,4.0,6.0,6.0,3.0,3.0,3.0,7.0,4.0,2.0,3.0,2.0,6.0,4.0,4.0,6.0,6.0,6.0,3.0,4.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,5.0,6.0,6.0,3.0,"1. Industry specific checklists - eg casing for consulting, and potential to schedule pars/case sessions etc. 

2. Freemium content from professional clubs

3. Networking fundamentals and gamified version that shows people they are making progress to motivate people, especially internationals who come from different professional standards where networking is quite often looked down upon.",international,Male,,Engineering,,PM,,11.733333333333333
$10,AMBA,2020,SPMI,,,,1.0,,1.0,,1.0,,,6.0,7.0,4.0,2.0,6.0,2.0,7.0,6.0,7.0,3.0,7.0,2.0,1.0,5.0,7.0,4.0,7.0,6.0,2.0,1.0,7.0,1.0,7.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,"1. I am juggling among many things (courses, recruiting, and social). Need help with time management or make all the existing processes more efficient
2. Something to improve my mental health or reduce my FOMO
3. Make it a web app, so that it is compatible to all my devices",international,Male,,Engineering,,PM,,37.75
$10,AMBA,2021,cust/no,1.0,1.0,,,,,,1.0,,,7.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,6.0,5.0,5.0,2.0,I can't think of any improvements for such a  recruitment app. The description above seems fairly comprehensive.,domestic,Male,,Legal,,Legal,,17.0
$10,2-year,2020,DTI,1.0,,,1.0,,,,1.0,,,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,6.0,6.0,4.0,3.0,5.0,5.0,7.0,5.0,4.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,7.0,7.0,7.0,6.0,"It seems like some of the materials overwraps with existing data uploaded on each professional club's website (ex: previous interview questions on HTC website) So, it should not be a simple repository that integrate all those scattered information (though it'd be useful) but focus on providing unique values. Having detailed information about how our classmates did their internship would be really helpful for first-years to understand how what they imagined about internship experience at certain company is different from what they imagined. For recording the pitch part, you need to make sure about a quality of feedback they could receive.",international,Male,,GM,,PM,,22.2
$10,2-year,2021,SPMI,1.0,,,,,1.0,,,,1.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,6.0,5.0,7.0,2.0,"1. Business model - I guess not many people interested in paying this service, unless it provides really differentiated content. (As I believe that most of resources are available from each career clubs)
2. Save contact - Feature can include mentoring feature to track progress and give more tailored guidance based on the progress of the recruiting.
3. JTS integration should include J-Pay
",international,Female,,PM,,PM,,13.4
